,단어,부정,긍정
458,y,0.017026877,-0.013641957
459,z,-0.0057265144,-0.058780476
460,{,0.080261946,-0.025283124
461,|,0.051173475,0.00022482267
462,},0.079307795,-0.034616213
463,~,0.03938137,-0.0004600268
464,~1,0.038796917,0.0017455351
465,~20,0.036844388,0.012200058
466,~3,-0.015061396,-0.016435068
467,~5,-0.0080779735,-0.031952534
468,~6,-0.00020837504,0.025448155
469,~8,-0.017174833,-0.013031177
470,¡,-0.019399974,-0.033479515
471,¤,-0.010162627,0.0045240354
472,§,-0.0033628978,-0.023465132
473,­,0.0009865081,0.007964782
474,®,0.00443703,0.014102876
475,°,-0.012980435,0.049583152
476,±,0.09054944,0.057474397
477,¶,-0.001195725,-0.024763286
478,·,0.029952396,0.058134202
479,¿,-0.012935607,-0.041406736
480,Æ,-0.0026872524,-0.033174083
481,×,0.04816991,0.020447806
482,Ø,-0.012444197,-0.06917026
483,ß,0.0298254,-0.0646901
484,æ,0.038819637,-0.06925373
485,÷,0.03083388,0.049771838
486,ø,0.059911527,-0.046954647
487,́,0.0191596,-0.07495788
488,̧,-0.0021580097,0.011025194
489,μ,0.018762393,0.028892472
490,ᄀ,-0.012507733,-0.056316845
491,ᄋ,-0.025897479,-0.016128903
492,ᄏ,0.028413173,-0.016317256
493,ᄒ,-0.026419928,-0.004393941
494,ᅵ,0.03080624,-0.029701784
495,ᆞ,0.010159346,0.017657597
496,―,0.08004847,-0.043627355
497,‘,0.010577008,0.008443657
498,’,-0.04731986,0.034299653
499,’(,0.014933461,-0.009655991
500,"’,",0.027509337,-0.03255859
501,“,0.030879477,-0.009027816
502,”,-0.015041976,0.017235072
503,"”,",0.018350696,-0.022877526
504,′,0.047086135,0.0026104958
505,※,0.030370452,-0.02601782
506,⁄,0.03958108,0.030727115
507,↑,0.0436832,0.015276402
508,→,0.041507598,0.009621935
509,↓,0.024730776,0.015522993
510,↓],0.026216831,-0.0047764713
511,∼,0.036969632,0.023627095
512,─,-0.015091166,-0.018199101
513,───,0.023384582,-0.082158014
514,│,-0.015998762,-0.039397366
515,├,0.012802897,-0.0009808503
516,┼,0.027848136,-0.04354939
517,▁,-0.0042625368,0.020810341
518,"▁""",-0.003577765,-0.04983995
519,▁&,0.0014298996,0.024491679
520,▁',-0.012651982,0.03221371
521,▁'2013,0.009452401,-0.020837564
522,▁(,-0.028490674,-0.020013738
523,▁*,0.01656279,0.01638855
524,▁-,0.006259189,-0.024286255
525,▁/,0.008644063,-0.020350354
526,▁0,0.0033746087,0.009693701
527,▁0.2,0.026008502,-0.01912297
528,▁00:0,-0.006867733,0.0073243594
529,▁1,-0.043973956,0.01714128
530,▁1%,-0.010261267,-0.017764367
531,"▁1,2",-0.00076919235,-0.020468641
532,▁1.5,0.024003817,-0.001589207
533,▁10,-0.044096507,0.030244382
534,▁10%,0.02562234,-0.016784197
535,▁100,-0.008043033,0.021856412
536,▁100%,-0.012883421,-0.014767582
537,▁1000,-0.027278721,0.03743738
538,▁11,-0.04451437,0.010248073
539,▁12,-0.0005754493,0.017171528
540,▁120,0.04302376,0.018672016
541,▁13,-0.006250417,0.018120216
542,▁14,-0.021219678,0.0072181486
543,▁15,-0.03235611,0.023919653
544,▁150,0.027317606,0.012475827
545,▁16,-0.03133856,0.00681617
546,▁17,-0.025802275,0.013681843
547,▁18,-0.020656705,0.019238204
548,▁19,-0.01781725,-0.0025045034
549,▁1990,0.043720804,0.0016483869
550,▁1997,0.061399825,-0.03250234
551,▁1998,0.040969767,-0.013329583
552,▁1~2,0.0061906055,-0.012475948
553,▁2,-0.03915044,0.0010349303
554,▁20,-0.032918733,0.017877463
555,▁20%,0.0045426846,-0.0234656
556,▁200,-0.007742303,-0.009917611
557,▁2000,0.019496571,0.011625909
558,▁2001,0.016288191,-0.0029191677
559,▁2002,0.033748128,-0.02823716
560,▁2003,0.05129961,-0.0060343132
561,▁2004,0.026665378,-0.019013254
562,▁2005,0.021590654,0.006632544
563,▁2006,0.05395309,-0.016856471
564,▁2007,0.00812091,0.008898188
565,▁2008,-0.004723816,-0.052148856
566,▁2009,0.0082466,-0.013605673
567,▁2010,0.010822866,-0.00037053972
568,▁2011,0.018612005,-0.013376657
569,▁2012,-0.013983019,-0.037225757
570,▁2013,-0.012068865,-0.031020628
571,▁2013-0,-0.010961576,-0.02823153
572,▁2013.0,-0.006295356,-0.0046230983
573,▁2013.07.1,-0.0072896616,-0.018276803
574,▁2013.07.2,0.003212398,-0.033376418
575,▁2014,0.0083563635,-0.029108725
576,▁2015,-0.015660195,-0.023604868
577,▁2016,-0.009800925,-0.07461121
578,▁2017,0.016143784,-0.059312742
579,▁21,-0.014399796,0.010320225
580,▁22,-0.018598907,-0.005398787
581,▁23,-0.027670892,-0.014283406
582,▁24,-0.007342387,-0.023892224
583,▁25,-0.027284421,-0.0032265214
584,▁26,-0.02254399,-0.010859469
585,▁27,-0.021603096,-0.0069539794
586,▁28,-0.024418347,-0.025853312
587,▁29,-0.042200726,-0.015429539
588,▁2~3,-0.01726308,0.009145111
589,▁3,-0.019204246,0.007287521
590,▁3.0,0.003057722,-0.02080458
591,▁3.3,0.0015721242,-0.0064278767
592,▁30,-0.045609485,0.013153354
593,▁30%,0.019731699,-0.024943026
594,▁300,-0.013641024,-0.022593796
595,▁3000,-0.008682836,0.005348871
596,▁31,-0.014788432,-0.016893415
597,▁32,-0.01735809,-0.053900987
598,▁33,-0.044346873,-0.014413456
599,▁34,-0.005800135,-0.050045557
600,▁35,-0.032587737,-0.024260446
601,▁36,0.0068546785,-0.021971688
602,▁37,0.0029508919,-0.00023432635
603,▁38,-0.022082988,-0.031262323
604,▁39,0.009044618,-0.039169528
605,▁4,-0.010954149,-0.01634191
606,▁40,-0.04391039,-0.020156942
607,▁40%,-0.00742869,0.004938485
608,▁400,-0.046796754,-0.012963734
609,▁45,-0.043019824,-0.022716787
610,▁48,-0.002931714,-0.02122164
611,▁5,-0.0069015156,0.030268906
612,▁50,-0.036977366,0.006026483
613,▁50%,0.023188815,-0.02063413
614,▁500,-0.017439231,0.00079750083
615,▁5000,-0.013107521,0.043536797
616,▁55,-0.009087308,-0.001281132
617,▁6,-0.014780958,0.019931868
618,▁60,-0.0028390624,0.025661487
619,▁60%,0.0018345579,-0.009939397
620,▁65,0.036839403,-0.015580967
621,▁7,-0.021934092,0.0021439567
622,▁70,0.021308498,0.013367695
623,▁70%,-0.008734277,-0.033533193
624,▁8,-0.013391668,-0.00068791397
625,▁80,0.022285726,0.021706596
626,▁80%,-0.013790384,-0.030013053
627,▁9,-0.042186122,0.026381139
628,▁90,0.010611692,0.010335136
629,▁:,0.0029755454,-0.015165134
630,▁<,-0.0029731868,-0.012631002
631,▁=,0.019860482,-0.010425245
632,▁>,-0.0057504713,-0.02591818
633,▁?,-0.02814654,-0.028003508
634,▁??,-0.020489864,-0.019753125
635,▁A,-0.007225089,-0.0024900306
636,▁APP,0.0673016,0.0108423745
637,▁B,-0.034236055,-0.026517158
638,▁C,0.015682612,-0.0060150176
639,▁CCTV,-0.021238003,0.012274234
640,▁CEO,-0.0032558113,-0.024003921
641,▁CES,-0.0022278284,0.040689435
642,▁CGV,0.018772155,-0.007455147
643,▁CJ,-0.022862405,-0.04000188
644,▁D,0.003194496,-0.024993112
645,▁E,0.024005137,0.016972862
646,▁ELS,0.013353534,-0.012679724
647,▁ETF,0.033260144,-0.01366265
648,▁F,-0.017362818,-0.036089525
649,▁FA,0.0072219437,0.026083522
650,▁G,0.028687656,-0.009037755
651,▁GS,-0.016221987,-0.029178431
652,▁H,-0.014152134,-0.018500721
653,▁HOT,0.025662836,-0.051296633
654,▁Home,0.053176194,-0.0109872
655,▁I,0.015139386,-0.0393039
656,▁IT,-0.009557849,-0.033775352
657,▁J,0.011955509,-0.078584775
658,▁JTBC,0.1037886,-0.030120352
659,▁K,-0.015223468,-0.048937235
660,▁KB,0.0071316874,-0.033034883
661,▁KBO,-0.039286517,-0.0027632974
662,▁KBS,0.012304648,0.029686417
663,▁KDB,0.00655051,-0.04528722
664,▁KIA,-0.008388109,0.0041231075
665,▁KT,0.048494786,-0.04295162
666,▁L,0.006953723,-0.047002934
667,▁LA,-0.059901394,-0.060302384
668,▁LG,0.0084915515,-0.011715659
669,▁LIG,-0.01230202,-0.017365716
670,▁LTE,-0.015235955,-0.064370655
671,▁M,-0.0026872233,-0.048660368
672,▁MBC,0.047851443,-0.0032382756
673,▁MC,-0.006615727,-0.027911559
674,▁Mnet,0.021312678,-0.05603947
